sugu,vanus,lapsed,emaharidus,isaharidus,kaaslane,staatus3,tervis,haridus,haridustase,sissetulek,meeldib_oppida,literacy,numeracy,psolvskills,hvaldkond,kaalud
Naine,16,Ei,Kõrg,Kesk,Ei,Mitteaktiivne,Hea,Põhi,Madal,NA,Mõningal määral,302.8534,318.8096,338.0863,Üld,116.6197
Naine,40,Jah,Kõrg,Kesk,Jah,Hõivatud,Suurepärane,Akadeemiline kõrg,Kõrge,1365.51,Suurel määral,281.3429,229.611,264.6245,Sots,113.9431
Naine,33,Jah,Kõrg,Kõrg,Jah,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,520,Suurel määral,349.9488,330.7646,335.977,Hum,129.527
Naine,58,Ei,Põhi,NA,Ei,Mitteaktiivne,Hea,Põhi,Madal,NA,Üldse mitte,156.8571,100.0321,NA,Üld,68.3447
Naine,36,Jah,Kesk,Kesk,Ei,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,1276.034,Väga suurel määral,342.0052,328.8122,268.5787,Täp,116.5867
Mees,41,Jah,Kõrg,Kesk,Jah,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,881.2864,Väga suurel määral,300.3177,299.4006,291.9768,Sots,89.05991
Naine,30,Jah,Kesk,Kõrg,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,548.3829,Suurel määral,244.1672,209.318,280.8797,Teen,92.34975
Mees,24,Ei,Kõrg,Põhi,Ei,Mitteaktiivne,Väga hea,Põhi,Madal,NA,Mõningal määral,245.0312,255.2524,278.3992,Üld,105.8108
Mees,32,Jah,Kesk,Kesk,Jah,Hõivatud,Suurepärane,Kesk-järgne kutse,Keskmine,1955.877,Suurel määral,280.2632,302.1711,248.6715,TehTo,186.477
Mees,60,Jah,Põhi,NA,Jah,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Väga vähe,246.1529,257.109,249.6435,TehTo,111.7892
Mees,20,Ei,Kesk,Kesk,Ei,Hõivatud,Väga hea,Kesk,Keskmine,552.3303,Väga suurel määral,267.4175,223.2516,261.6504,TehTo,132.8443
Mees,21,Ei,Kõrg,Kesk,Ei,Mitteaktiivne,Rahuldav,Kesk-järgne kutse,Keskmine,NA,Väga suurel määral,280.9195,252.3328,287.1188,Hum,140.8186
Naine,49,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,319.4295,Väga vähe,296.5735,278.1977,NA,Sots,103.6009
Mees,41,Jah,Kesk,NA,Jah,Hõivatud,Hea,Kesk,Keskmine,201.0053,Mõningal määral,240.9643,269.394,274.0199,TehTo,167.8111
Naine,23,Ei,Kesk,Kesk,NA,Hõivatud,Suurepärane,Kesk,Keskmine,NA,Väga suurel määral,251.7773,190.5261,247.8853,Üld,111.9611
Naine,61,Jah,Põhi,Põhi,Ei,Hõivatud,Rahuldav,Põhi,Madal,276.0073,Väga vähe,305.7426,319.5905,NA,TehTo,113.1567
Naine,24,Ei,Kesk,Põhi,NA,Hõivatud,Suurepärane,Kesk,Keskmine,NA,Suurel määral,302.8907,315.0993,295.777,Üld,184.0974
Naine,27,Ei,Kõrg,Põhi,Jah,Hõivatud,Väga hea,Kesk-järgne kutse,Keskmine,591.8051,Suurel määral,302.338,276.9019,258.1779,TehTo,139.3373
Mees,43,Jah,Kõrg,Põhi,Jah,Hõivatud,Väga hea,Kesk,Keskmine,NA,Suurel määral,330.2202,326.5715,NA,Üld,92.40594
Naine,60,Jah,Kesk,NA,Ei,Mitteaktiivne,Halb,Kesk,Keskmine,NA,Üldse mitte,231.1949,199.9704,NA,Üld,85.89999
Naine,59,Jah,Kõrg,Kõrg,Ei,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Suurel määral,264.5057,268.6823,NA,Üld,123.4563
Mees,17,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Väga hea,Põhi,Madal,NA,Suurel määral,310.8642,257.2789,308.9525,Üld,105.2251
Mees,32,Jah,Kesk,Kesk,Jah,Hõivatud,Väga hea,Rakenduskõrg,Kõrge,854.9698,Väga suurel määral,243.1402,247.5842,282.8141,TehTo,220.4326
Naine,18,Jah,Kesk,Kesk,Ei,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Väga vähe,250.4979,210.2273,259.1023,Üld,115.7419
Mees,44,Jah,Kesk,Kesk,Jah,Hõivatud,Väga hea,Kesk,Keskmine,3249.77,Suurel määral,333.644,303.5316,290.0394,Üld,113.9313
Mees,25,Jah,Kesk,Kesk,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,1802.363,Suurel määral,307.3142,293.7113,303.3925,TehTo,110.7635
Naine,35,Jah,Kesk,Kesk,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,866.6667,Mõningal määral,259.5392,252.2664,274.2617,Üld,117.4446
Naine,57,Jah,Kesk,Kõrg,NA,Hõivatud,Rahuldav,Akadeemiline kõrg,Kõrge,1000,Väga vähe,333.5165,329.2427,300.1737,Täp,123.4563
Naine,42,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Kesk-järgne kutse,Keskmine,300,Suurel määral,271.2921,280.197,280.3609,Sots,122.5731
Naine,28,Jah,Kesk,Kesk,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,565.4886,Väga suurel määral,284.5623,319.437,317.9639,Täp,193.114
Naine,28,Ei,Kõrg,Kesk,Jah,Hõivatud,Rahuldav,Akadeemiline kõrg,Kõrge,1317.333,Suurel määral,327.099,315.1055,350.5864,Põ,108.1216
Mees,64,Jah,Kesk,Kesk,Jah,Mitteaktiivne,Hea,Rakenduskõrg,Kõrge,NA,Mõningal määral,262.3638,270.5717,NA,TehTo,117.8036
Naine,17,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Suurel määral,297.6854,264.6195,295.9787,Üld,115.7419
Naine,52,Jah,Põhi,Kesk,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,NA,Mõningal määral,197.5069,192.9307,178.0283,Sots,97.47162
Mees,22,Ei,Kesk,Põhi,Ei,Mitteaktiivne,Hea,Põhi,Madal,NA,Suurel määral,251.7783,236.7742,225.5044,Üld,105.2251
Mees,50,Jah,Kesk,Kesk,Jah,Hõivatud,Rahuldav,Rakenduskõrg,Kõrge,881.2864,Mõningal määral,241.6517,245.0179,261.354,Sots,144.6558
Naine,40,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Rahuldav,Rakenduskõrg,Kõrge,NA,Mõningal määral,177.0476,202.7571,177.3674,Sots,96.73882
Mees,24,Ei,Kesk,Kesk,Ei,Hõivatud,Suurepärane,Kesk,Keskmine,NA,Suurel määral,224.3285,256.54,218.9405,Põ,105.8108
Naine,26,Jah,Kesk,Kõrg,Ei,Hõivatud,Väga hea,Põhi,Madal,315.482,Suurel määral,214.3545,205.4151,214.4387,Üld,158.2228
Naine,40,Jah,Kesk,Kesk,Jah,Hõivatud,Väga hea,Kesk,Keskmine,1078.66,Suurel määral,284.8844,289.8479,275.2103,Sots,92.95641
Naine,26,Ei,Kõrg,Kõrg,NA,Hõivatud,Hea,Rakenduskõrg,Kõrge,270.7099,Suurel määral,285.9005,259.7216,269.6277,Hum,129.527
Mees,43,Jah,Kõrg,Põhi,NA,Hõivatud,Halb,Põhi,Madal,402.7968,Väga vähe,262.3106,232.3032,NA,Üld,100.4092
Mees,65,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Rahuldav,Kesk,Keskmine,NA,Väga vähe,274.6396,240.2547,NA,Üld,88.45889
Naine,48,Jah,NA,NA,Jah,Töötu,Halb,Kesk,Keskmine,NA,Mõningal määral,147.8388,151.538,NA,Üld,97.00704
Naine,23,Ei,Kõrg,Kesk,Jah,Hõivatud,Väga hea,Kesk,Keskmine,350,Suurel määral,298.101,251.1431,289.4775,Põ,99.25687
Naine,46,Ei,Kõrg,Kõrg,NA,Hõivatud,Halb,Akadeemiline kõrg,Kõrge,2600,Mõningal määral,308.8297,346.3921,303.1393,Terv,114.2591
Mees,33,Jah,Kõrg,Kõrg,Jah,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,2591.858,Mõningal määral,251.4886,306.5313,318.6803,Sots,113.2407
Mees,58,Jah,Kesk,Kõrg,Jah,Töötu,Hea,Akadeemiline kõrg,Kõrge,NA,Suurel määral,325.4557,348.4168,272.6794,TehTo,121.2352
Mees,32,Jah,Kesk,Põhi,Jah,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,1000,Suurel määral,324.2308,347.4688,334.3508,TehTo,156.1748
Naine,65,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Põhi,Madal,302.3237,Üldse mitte,161.7945,123.7701,NA,Üld,113.1567
Mees,59,Jah,Põhi,Põhi,NA,Hõivatud,Rahuldav,Akadeemiline kõrg,Kõrge,1276.034,Mõningal määral,208.7411,214.7336,236.9285,Sots,78.46038
Naine,57,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Suurepärane,Kesk,Keskmine,NA,Mõningal määral,257.0941,222.246,NA,Üld,83.11272
Mees,50,Jah,Kesk,Kõrg,Jah,Hõivatud,Rahuldav,Akadeemiline kõrg,Kõrge,322.0611,Suurel määral,160.1051,198.3427,209.4098,Hum,144.6558
Naine,39,Jah,Kesk,Kesk,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,749.7039,Mõningal määral,286.5953,315.5771,271.0059,Õp,126.9208
Naine,37,Jah,Kesk,NA,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,650,Mõningal määral,163.2828,187.0406,174.8289,TehTo,126.9208
Naine,55,Ei,Põhi,Põhi,NA,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Väga vähe,231.7466,178.7911,NA,Üld,100.9584
Mees,25,Jah,Kesk,Kõrg,Ei,Hõivatud,Hea,Kesk,Keskmine,1144.451,Mõningal määral,279.3221,287.6748,295.2837,Üld,140.8186
Naine,52,Jah,Põhi,Kesk,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,693.3333,Mõningal määral,303.5993,286.4269,NA,Üld,93.21415
Naine,50,Jah,Kõrg,Kõrg,Ei,Hõivatud,Hea,Rakenduskõrg,Kõrge,344.4301,Mõningal määral,231.197,217.5427,NA,Põ,100.9584
Mees,35,Jah,Kõrg,Kõrg,Jah,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,947.0776,Mõningal määral,319.2817,345.3232,332.6509,TehTo,109.5663
Mees,43,Jah,Kõrg,Kõrg,Jah,Hõivatud,Hea,Kesk,Keskmine,776.0204,Suurel määral,330.2408,307.7132,NA,Üld,139.1399
Naine,54,Jah,Põhi,Põhi,Ei,Hõivatud,Hea,Rakenduskõrg,Kõrge,333.9035,Suurel määral,285.3571,249.9878,270.2412,TehTo,109.8928
Mees,23,Ei,Kesk,Kesk,NA,Hõivatud,Väga hea,Kesk,Keskmine,NA,Suurel määral,299.2159,310.9476,330.3794,Üld,105.2251
Naine,22,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Suurepärane,Kesk-järgne kutse,Keskmine,NA,Suurel määral,257.5331,237.7905,273.3378,Sots,88.03786
Mees,21,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Mõningal määral,194.7919,165.0573,195.5952,Üld,118.1186
Mees,22,Ei,Kõrg,Kesk,Jah,Mitteaktiivne,Väga hea,Kesk-järgne kutse,Keskmine,NA,Väga suurel määral,315.7115,348.5321,321.3642,Sots,110.7635
Naine,45,Jah,Kõrg,Kesk,Jah,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,1276.034,Suurel määral,383.7292,395.2117,357.2435,Sots,89.94017
Naine,52,Jah,Kesk,Põhi,Jah,Hõivatud,Rahuldav,Kesk-järgne kutse,Keskmine,NA,Väga vähe,235.029,216.3778,NA,TehTo,149.8409
Mees,49,Jah,Kesk,Põhi,Jah,Mitteaktiivne,Hea,Kesk-järgne kutse,Keskmine,NA,Mõningal määral,219.3476,248.9801,193.078,TehTo,101.9568
Mees,16,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Väga hea,Põhi,Madal,NA,Suurel määral,266.9821,252.3276,311.4825,Üld,122.7014
Mees,33,Jah,Kesk,Põhi,Jah,Hõivatud,Väga hea,Põhi,Madal,2801.26,Mõningal määral,192.7935,228.8131,200.7186,Üld,113.2407
Mees,31,Ei,Kesk,Kesk,NA,Hõivatud,Väga hea,Kesk-järgne kutse,Keskmine,2197.11,Suurel määral,307.8463,318.7128,274.6512,TehTo,148.5919
Naine,49,Jah,Põhi,Põhi,Ei,Hõivatud,Väga hea,Rakenduskõrg,Kõrge,NA,Mõningal määral,323.8952,284.7036,NA,Terv,114.2591
Naine,54,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,618.1215,Suurel määral,241.9883,235.548,247.5838,TehTo,102.8623
Naine,32,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Hea,Põhi,Madal,NA,Väga vähe,235.6419,186.7334,220.0466,Üld,109.0535
Naine,27,Ei,Kesk,Põhi,Jah,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,NA,Mõningal määral,288.1382,284.6826,283.6976,Hum,132.5322
Naine,54,Jah,Põhi,NA,Jah,Hõivatud,Rahuldav,Rakenduskõrg,Kõrge,NA,Suurel määral,305.4678,271.5425,NA,Terv,103.6009
Naine,55,Jah,Kesk,Kesk,Jah,Hõivatud,Väga hea,Kesk,Keskmine,678,Väga suurel määral,313.5042,288.0222,309.9234,Üld,109.4618
Mees,43,Jah,Kõrg,Kõrg,Jah,Hõivatud,Väga hea,Rakenduskõrg,Kõrge,NA,Väga suurel määral,317.237,303.6914,292.0862,TehTo,167.8111
Mees,21,Ei,Kõrg,Kõrg,Ei,Hõivatud,Väga hea,Kesk,Keskmine,499.6784,Suurel määral,365.6917,328.5768,319.5233,TehTo,125.2482
Mees,27,Jah,Kesk,Põhi,Jah,Hõivatud,Väga hea,Rakenduskõrg,Kõrge,960,Suurel määral,302.7053,314.3664,331.9606,Sots,139.8309
Mees,47,Jah,Kesk,Kesk,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,618.1215,Mõningal määral,224.9591,202.0842,182.7047,Teen,86.34005
Naine,45,Jah,Kesk,Kesk,Jah,Hõivatud,Hea,Kesk,Keskmine,960.2358,Suurel määral,330.8793,342.6031,287.9474,Teen,122.5731
Naine,60,Jah,Põhi,Põhi,Ei,Hõivatud,Hea,Põhi,Madal,407.5897,Mõningal määral,309.4166,299.2202,NA,Üld,84.63857
Naine,32,Jah,Kesk,Kesk,Ei,Mitteaktiivne,Väga hea,Rakenduskõrg,Kõrge,NA,Mõningal määral,312.5873,307.8296,299.2842,Sots,174.6619
Mees,16,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Hea,Põhi,Madal,NA,Väga vähe,247.322,213.8247,229.7835,Üld,140.8186
Naine,58,Jah,Kõrg,Kõrg,Ei,Hõivatud,Halb,Akadeemiline kõrg,Kõrge,729.9666,Mõningal määral,268.62,306.4396,256.4669,Terv,113.1567
Naine,33,Jah,Kesk,Põhi,Jah,Mitteaktiivne,Rahuldav,Kesk,Keskmine,NA,Suurel määral,227.5714,226.5795,249.5928,Sots,102.2412
Mees,45,Jah,Kesk,Kõrg,Ei,Mitteaktiivne,Halb,Kesk,Keskmine,NA,Väga vähe,293.0676,260.2126,NA,Üld,133.7182
Naine,64,Jah,Põhi,Kõrg,Ei,Mitteaktiivne,Hea,Kesk,Keskmine,NA,Mõningal määral,327.4315,303.4023,NA,Üld,85.89999
Naine,48,Jah,Põhi,Kesk,Jah,Hõivatud,Halb,Kesk,Keskmine,NA,Mõningal määral,293.7174,240.6815,NA,Üld,119.9914
Mees,45,Jah,Kõrg,Põhi,Jah,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,960,Suurel määral,285.7447,280.8631,292.1106,TehTo,133.7182
Mees,46,Jah,Kõrg,Kesk,NA,Hõivatud,Hea,Rakenduskõrg,Kõrge,3361.512,Mõningal määral,292.1076,272.1925,NA,TehTo,98.79346
Naine,47,Jah,Kõrg,Kõrg,Jah,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,618.1215,Mõningal määral,299.5329,301.5993,263.3564,Teen,122.7917
Mees,25,Ei,Põhi,Kesk,Ei,Hõivatud,Väga hea,Rakenduskõrg,Kõrge,618.1215,Suurel määral,261.5104,263.3546,250.0851,Sots,176.5188
Mees,56,Ei,Kõrg,Kesk,NA,Töötu,Rahuldav,Rakenduskõrg,Kõrge,NA,Mõningal määral,268.0315,265.5121,NA,TehTo,121.2352
Mees,25,Ei,Kesk,Kesk,Ei,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,1144.451,Väga suurel määral,295.8725,295.6309,312.242,NA,148.5919
Naine,56,Jah,Põhi,Põhi,Jah,Töötu,Rahuldav,Kesk,Keskmine,NA,Väga suurel määral,329.5087,265.6058,NA,TehTo,113.1611
Mees,46,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Mõningal määral,302.0145,250.9158,NA,Üld,85.63836
Mees,23,Ei,Kesk,Kesk,Jah,Mitteaktiivne,Suurepärane,Akadeemiline kõrg,Kõrge,NA,Väga suurel määral,315.191,288.5919,274.5155,Teen,191.3804
Naine,63,Ei,Põhi,Põhi,NA,Mitteaktiivne,Rahuldav,Kesk,Keskmine,NA,Väga vähe,252.4695,259.1551,NA,Terv,113.1567
Mees,57,Jah,Kesk,Põhi,Jah,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Suurel määral,251.8585,226.5783,NA,TehTo,99.298
Naine,35,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Suurepärane,Põhi,Madal,NA,Mõningal määral,239.3084,199.917,NA,Üld,114.4491
Naine,32,Jah,Kõrg,Kõrg,Jah,Hõivatud,Suurepärane,Akadeemiline kõrg,Kõrge,1276.034,Mõningal määral,291.8214,285.5876,285.9222,Hum,129.527
Naine,19,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Suurepärane,Põhi,Madal,NA,Suurel määral,266.2195,243.2083,262.3326,Üld,87.32237
Mees,39,Jah,NA,NA,Jah,Töötu,Väga hea,Põhi,Madal,NA,Mõningal määral,248.2808,180.4352,210.8337,Üld,98.599
Naine,50,Jah,Põhi,Põhi,Ei,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,749.7039,Väga suurel määral,310.6904,320.114,295.119,Sots,109.8928
Mees,23,Jah,Kõrg,NA,Jah,Hõivatud,Suurepärane,Kesk,Keskmine,697.071,Suurel määral,277.4876,262.0818,288.2372,Üld,125.9017
Naine,17,Ei,Kõrg,Kesk,Ei,Mitteaktiivne,Hea,Põhi,Madal,NA,Väga suurel määral,339.1311,343.1233,346.153,Üld,115.7419
Naine,49,Jah,Kõrg,NA,Jah,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,NA,Suurel määral,265.1645,269.7538,NA,Hum,122.7917
Naine,19,Ei,Kõrg,Kesk,Ei,Hõivatud,Rahuldav,Kesk,Keskmine,NA,Väga suurel määral,306.4424,293.1706,320.1006,Üld,115.5237
Mees,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.58125
Mees,16,Ei,Kesk,Kesk,NA,Mitteaktiivne,Suurepärane,Põhi,Madal,NA,Suurel määral,244.7915,238.0172,255.1113,Üld,103.3281
Naine,52,Jah,Kesk,Kesk,Jah,Hõivatud,Hea,Kesk-järgne kutse,Keskmine,NA,Suurel määral,312.793,334.6238,271.2976,Hum,90.18954
Mees,50,Jah,Põhi,Põhi,Ei,Töötu,Hea,Kesk,Keskmine,NA,Mõningal määral,212.2781,219.5547,NA,Üld,163.2957
Mees,54,Ei,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Põhi,Madal,315.482,Mõningal määral,251.7618,225.3188,NA,Üld,113.8739
Naine,41,Ei,Kesk,Kesk,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,NA,Üldse mitte,200.185,223.6735,194.6141,NA,126.9208
Mees,21,Ei,Kõrg,Kesk,Jah,Hõivatud,Suurepärane,Kesk,Keskmine,1050,Väga suurel määral,322.467,360.4476,328.2173,Üld,132.8443
Mees,36,Jah,Kesk,Kesk,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,3435.847,Suurel määral,270.9919,315.5612,295.347,TehTo,160.1555
Naine,49,Jah,Põhi,Kesk,Jah,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,450,Väga suurel määral,289.7211,279.0032,292.2358,Sots,163.3735
Mees,53,Jah,NA,Põhi,Jah,Hõivatud,Rahuldav,Põhi,Madal,NA,Väga suurel määral,148.1088,152.2821,NA,Põ,113.8739
Naine,50,Jah,NA,Põhi,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,NA,Väga vähe,239.9323,254.5419,266.5067,TehTo,113.1611
Mees,58,Jah,Kesk,Kesk,Jah,Mitteaktiivne,Hea,Kesk,Keskmine,NA,Mõningal määral,277.3083,276.4891,NA,Üld,89.77724
Naine,18,Ei,Kesk,Kõrg,Ei,Mitteaktiivne,Väga hea,Kesk,Keskmine,NA,Suurel määral,252.7947,217.9343,244.2441,Üld,104.8351
Mees,63,Jah,Põhi,Kesk,Jah,Mitteaktiivne,Suurepärane,Akadeemiline kõrg,Kõrge,NA,Suurel määral,189.4402,227.1269,187.316,Põ,93.43029
Mees,25,Jah,Kõrg,Kõrg,Jah,Hõivatud,Hea,Põhi,Madal,NA,Suurel määral,273.8472,280.3862,285.2094,Üld,132.8443
Mees,18,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Hea,Põhi,Madal,NA,Mõningal määral,254.0851,279.5166,242.1865,Üld,93.33152
Mees,62,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Halb,Põhi,Madal,NA,Üldse mitte,122.2078,189.8846,NA,Üld,88.45889
Naine,65,Jah,Põhi,Kesk,Ei,Hõivatud,Rahuldav,Rakenduskõrg,Kõrge,170.7413,Suurel määral,247.3612,235.4073,NA,NA,85.89999
Naine,23,Ei,Kõrg,Kõrg,NA,Hõivatud,Väga hea,Kesk,Keskmine,249,Suurel määral,327.2033,278.6921,291.1082,Üld,118.4273
Mees,23,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,872.551,Väga suurel määral,302.449,289.8557,299.3994,Üld,92.57301
Mees,37,Jah,Kõrg,Kõrg,Jah,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,NA,Mõningal määral,342.8099,319.9109,NA,Täp,103.5678
Naine,56,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Akadeemiline kõrg,Kõrge,NA,Väga suurel määral,310.3336,306.8285,254.76,TehTo,105.2936
Mees,48,Jah,Põhi,Põhi,Jah,Töötu,Rahuldav,Kesk,Keskmine,NA,Suurel määral,339.2423,296.8031,NA,Üld,167.0763
Naine,59,Jah,Põhi,NA,Jah,Hõivatud,Halb,Kesk-järgne kutse,Keskmine,341.7985,Mõningal määral,289.3138,284.6249,NA,Teen,104.2818
Naine,49,Jah,Põhi,Põhi,Ei,Hõivatud,Hea,Kesk,Keskmine,447,Suurel määral,213.7093,219.3769,243.393,Põ,97.00704
Naine,49,Jah,Kesk,Kõrg,Ei,Hõivatud,Hea,Rakenduskõrg,Kõrge,433.9062,Suurel määral,344.444,319.9789,334.7311,Sots,102.7272
Naine,44,Jah,Põhi,Kesk,Jah,Hõivatud,Väga hea,Rakenduskõrg,Kõrge,1023,Suurel määral,308.1566,302.1799,302.3333,Sots,113.9431
Mees,38,Jah,Kesk,Kõrg,Jah,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,1305,Suurel määral,350.0112,318.5046,339.1361,Täp,120.1394
Naine,46,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,124.7401,Suurel määral,245.1811,265.167,262.4278,TehTo,122.7917
Naine,56,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Rakenduskõrg,Kõrge,832.6008,Mõningal määral,262.6988,257.2811,NA,Põ,74.46175
Naine,28,Jah,Kesk,Kesk,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,NA,Mõningal määral,315.0271,310.6739,305.4132,Sots,109.0535
Naine,38,Jah,Kõrg,Kõrg,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,900,Suurel määral,287.0562,289.1544,317.2061,Teen,109.589
Mees,36,Jah,Kesk,Põhi,Jah,Hõivatud,Väga hea,Kesk,Keskmine,1328.703,Väga vähe,243.2565,272.0104,247.6813,TehTo,162.473
Naine,53,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Akadeemiline kõrg,Kõrge,1407.616,Väga suurel määral,277.0952,270.2439,259.8239,Sots,114.2591
Naine,55,Jah,Põhi,Põhi,NA,Hõivatud,Hea,Kesk-järgne kutse,Keskmine,NA,Suurel määral,283.4659,275.9642,NA,TehTo,102.8623
Mees,27,Ei,Kõrg,Kõrg,NA,Hõivatud,Väga hea,Kesk,Keskmine,NA,Väga suurel määral,308.9309,302.1017,274.3012,TehTo,109.5663
Mees,16,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Väga hea,Põhi,Madal,NA,Suurel määral,288.1374,279.8553,299.324,Üld,133.2839
Mees,57,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Üldse mitte,231.127,246.1312,NA,Üld,99.298
Naine,64,Jah,Põhi,Põhi,Ei,Mitteaktiivne,Rahuldav,Akadeemiline kõrg,Kõrge,NA,Mõningal määral,315.0896,270.7186,NA,Põ,85.89999
Mees,65,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Rahuldav,Kesk,Keskmine,NA,Mõningal määral,261.7795,278.6121,NA,Üld,93.43029
Mees,52,Jah,Kesk,Kesk,Ei,Mitteaktiivne,Halb,Kesk,Keskmine,NA,Väga vähe,246.2635,232.4758,NA,Üld,155.2644
Naine,62,Jah,Põhi,Kesk,Jah,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,NA,Suurel määral,298.2932,302.1716,NA,Sots,99.01231
Mees,52,Jah,NA,Kõrg,Jah,Hõivatud,Hea,Kesk,Keskmine,NA,Mõningal määral,276.3378,257.6274,NA,Üld,129.6345
Naine,38,Jah,Kesk,Kesk,Jah,Hõivatud,Rahuldav,Akadeemiline kõrg,Kõrge,197.7386,Mõningal määral,270.4944,258.7519,269.2489,Põ,94.47261
Naine,27,Jah,Kesk,Kõrg,Jah,Töötu,Väga hea,Kesk-järgne kutse,Keskmine,NA,Suurel määral,346.3093,311.2746,327.3011,Teen,110.4964
Naine,21,Ei,Kõrg,Kõrg,Ei,Mitteaktiivne,Suurepärane,Kesk,Keskmine,NA,Väga suurel määral,309.2504,313.4071,277.0426,Üld,118.4273
Mees,32,Jah,Kesk,Kesk,Jah,Hõivatud,Väga hea,Põhi,Madal,2065.528,Suurel määral,290.8156,318.8246,328.3473,Üld,120.0759
Mees,52,Jah,Kõrg,Kesk,NA,Hõivatud,Hea,Kesk,Keskmine,NA,Väga suurel määral,264.98630000000003,290.7756,240.2865,Üld,157.2034
Mees,42,Jah,Kesk,Kesk,Jah,Hõivatud,Väga hea,Põhi,Madal,1213.333,Suurel määral,256.37,272.5285,255.1615,Üld,101.9056
Naine,62,Jah,Põhi,Põhi,NA,Hõivatud,Hea,Kesk,Keskmine,249.6908,NA,194.7012,191.8053,NA,Üld,113.1567
Naine,51,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Põhi,Madal,308.9029,Väga suurel määral,239.1681,191.3959,NA,Üld,82.60809
Mees,33,Ei,Kõrg,Kesk,NA,Hõivatud,Hea,Kesk-järgne kutse,Keskmine,657.5963,Mõningal määral,276.1279,242.5936,NA,Teen,186.477
